קו,מפעיל,כיוון,חלופה,מקט,מוצא,יעד,תאור,אורך,"מספר תחנות","יציאות ביום ג","יציאות שבועיות",סוג,שרות,יחודיות,"סוג אוטובוס",שבת,נגיש,אשכול,מחוז,"מספר חלופה"
47,"דן דרום",1,#,14047,"באר שבע",להבים,"ת.מרכזית באר שבע/רציפים בינעיר - ת. רכבת להבים רהט",26.1,32,16,89,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16542
47,"דן דרום",2,#,14047,להבים,"באר שבע","ת. רכבת להבים רהט - ת.מרכזית באר שבע/הורדה",26.9,31,16,89,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16543
48,אגד,1,#,14048,"באר שבע",דימונה,"ת.מרכזית באר שבע/רציפים בינעיר - שוק עירוני",43.2,35,50,278,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,לא,"אשכול דרומי",הדרום,7361
48,אגד,1,פ,14048,"באר שבע",דימונה,"ת.מרכזית באר שבע/רציפים בינעיר - שוק עירוני",45.8,40,1,6,בין-עירוני,ישיר,תלמידים,"בין עירוני",כן,לא,"אשכול דרומי",הדרום,7363
48,אגד,2,#,14048,דימונה,"באר שבע","שוק עירוני - ת.מרכזית באר שבע/הורדה",42.4,31,45,269,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,לא,"אשכול דרומי",הדרום,7364
49,אגד,1,#,14049,"באר שבע",דימונה,"אצטדיון טרנר - שוק עירוני",52.6,59,12,61,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,21344
49,אגד,2,א,14049,דימונה,"באר שבע","שוק עירוני - אצטדיון טרנר",53.4,58,17,88,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,7367
50,מטרו,1,#,19050,"באר שבע","ערערה בנגב","יהושע הצורף - בית ספר לחינוך מיוחד",34.6,33,29,157,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8218
50,מטרו,2,#,19050,"ערערה בנגב","באר שבע","בית ספר לחינוך מיוחד - יהושע הצורף/יהודה הנחתום",33.4,35,29,159,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8219
50,מטרו,2,1,19050,"ערערה בנגב","באר שבע","בית ספר לחינוך מיוחד - יהודה הלוי/אבן עזרא",35.3,33,2,10,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,26513
54,מטרו,3,#,19054,"באר שבע","באר שבע","ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית באר שבע/הורדה",26.1,30,4,20,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8050
56,אגד,1,#,15056,"באר שבע",דימונה,"ת.מרכזית באר שבע/רציפים בינעיר - שוק עירוני",43.2,42,14,78,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,7369
56,אגד,1,א,15056,"באר שבע",דימונה,"ת.מרכזית באר שבע/רציפים בינעיר - שוק עירוני",44.2,45,3,20,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,7370
56,אגד,2,#,15056,דימונה,"באר שבע","שוק עירוני - ת.מרכזית באר שבע/הורדה",42.4,38,14,76,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,7371
57,"דן דרום",1,#,24057,"באר שבע",לכיש,"ת.מרכזית באר שבע/רציפים בינעיר - מחנה שומריה (שפיפון)",48.9,17,6,32,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16647
57,"דן דרום",2,#,24057,לכיש,"באר שבע","מחנה שומריה (שפיפון) - ת.מרכזית באר שבע/הורדה",50.2,16,6,32,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16648
59,מטרו,1,#,16059,"באר שבע",כסיפה,"ת.מרכזית באר שבע/רציפים בינעיר - מחנה נבטים",42.8,3,8,54,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8072
59,מטרו,2,#,16059,כסיפה,"באר שבע","מחנה נבטים - ת.מרכזית באר שבע/הורדה",42.5,3,8,52,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8073
60,מטרו,1,#,23060,"באר שבע","מצפה רמון","ת.מרכזית באר שבע/רציפים בינעיר - מרכז מסחרי/מצפה רמון",110.5,53,7,38,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11750
60,מטרו,1,1,23060,"באר שבע","מצפה רמון","ת.מרכזית באר שבע/רציפים בינעיר - מרכז מסחרי/מצפה רמון",112.2,54,1,5,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,16749
60,מטרו,2,#,23060,"מצפה רמון","באר שבע","מרכז תפוח - ת.מרכזית באר שבע/הורדה",110.7,54,8,45,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11751
60,מטרו,2,1,23060,"מצפה רמון","באר שבע","מרכז תפוח - ת.מרכזית באר שבע/הורדה",112.3,55,1,5,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,16750
60,מטרו,2,9,23060,"רמת הנגב","באר שבע","צומת מחנה משאבים - ת.מרכזית באר שבע/הורדה",32.8,18,'-,2,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11754
62,מטרו,1,#,20062,"באר שבע",חורה,"ת.מרכזית באר שבע/רציפים בינעיר - אלסלאם/אלתקוא",25.7,31,26,142,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8230
62,מטרו,1,1,20062,"באר שבע",חורה,"הברזל/החורש - אלסלאם/אלתקוא",30.9,42,3,15,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8231
62,מטרו,2,#,20062,חורה,"באר שבע","אלסלאם/אלתקוא - ת.מרכזית באר שבע/הורדה",25.3,31,28,153,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8232
62,מטרו,2,1,20062,חורה,"באר שבע","אלסלאם/אלתקוא - הברזל/הזורע",29.7,43,3,15,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8233
64,מטרו,1,#,22064,"באר שבע","מצפה רמון","ת.מרכזית באר שבע/רציפים בינעיר - מרכז מסחרי/מצפה רמון",91.5,53,10,70,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,11057
64,מטרו,2,#,22064,"מצפה רמון","באר שבע","מרכז תפוח - ת.מרכזית באר שבע/הורדה",91.8,54,9,63,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,11058
64,מטרו,2,3,22064,"מצפה רמון","באר שבע","""בי""""ס שדה הר הנגב"" - ת.מרכזית באר שבע/הורדה",94.9,53,1,6,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,28602
65,מטרו,1,#,18065,"באר שבע","מצפה רמון","ת.מרכזית באר שבע/רציפים בינעיר - מרכז מסחרי/מצפה רמון",85.5,49,11,53,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,10870
65,מטרו,1,1,18065,"באר שבע","מצפה רמון","מרפאות חוץ סורוקה/אוניברסיטת ב - מרכז מסחרי/מצפה רמון",88.5,52,3,15,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,20612
65,מטרו,2,#,18065,"מצפה רמון","באר שבע","מרכז תפוח - ת.מרכזית באר שבע/הורדה",85.8,51,11,58,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,10871
65,מטרו,2,1,18065,"מצפה רמון","באר שבע","מרכז תפוח - מרכז רפואי סורוקה/בן גוריון",88.0,56,2,10,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,10872
67,מטרו,1,#,16067,"באר שבע","קסר א סיר","יהושע הצורף - קאסר א סיר 1",47.0,31,7,39,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,10847
67,מטרו,2,#,16067,"קסר א סיר","באר שבע","קאסר א סיר 3 - יהושע הצורף/יהודה הנחתום",46.1,36,7,38,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,10848
68,מטרו,1,#,15068,"באר שבע","רמת הנגב","ת.מרכזית באר שבע/רציפים בינעיר - כלא נפחא",68.5,2,1,6,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11726
68,מטרו,2,#,15068,"רמת הנגב","באר שבע","כלא נפחא - ת.מרכזית באר שבע/הורדה",68.6,2,1,6,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11727
70,מטרו,1,#,24070,"באר שבע","שגב שלום","יהושע הצורף - שכונה 4",14.6,21,30,163,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8222
70,מטרו,2,#,24070,"שגב שלום","באר שבע","שכונה 4 - יהושע הצורף/יהודה הנחתום",13.7,22,32,174,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8223
80,"דן באר שבע",1,0,43080,"באר שבע","באר שבע","""בה""""ס נתיבי עם/שדרות ירושלים"" - שושנה דמארי/עופרה חזה",10.3,11,2,11,עירוני,"מקומי מאסף",תלמידים,עירוני,לא,כן,"באר שבע עירוני",הדרום,17543
80,"דן באר שבע",1,1,43080,"באר שבע","באר שבע","""בי""""ס יפה נוף/נחום שריג"" - מכללה טכנולוגית חיל האוויר/דרך",10.7,18,1,5,עירוני,"מקומי מאסף",תלמידים,עירוני,לא,כן,"באר שבע עירוני",הדרום,26390
80,"דן באר שבע",2,0,43080,"באר שבע","באר שבע","שושנה דמארי/נעומי שמר - ""בה""""ס נתיבי עם/שדרות ירושלים""",11.5,13,1,6,עירוני,"מקומי מאסף",תלמידים,עירוני,לא,כן,"באר שבע עירוני",הדרום,17544
80,"דן באר שבע",2,1,43080,"באר שבע","באר שבע","מכללה טכנולוגית חיל האוויר/דרך - ""בי""""ס יפה נוף/נחום שריג""",10.7,18,1,5,עירוני,"מקומי מאסף",תלמידים,עירוני,לא,כן,"באר שבע עירוני",הדרום,26389
81,"דן באר שבע",1,0,39081,"באר שבע","באר שבע","שמעון אגרנט/יצחק ולבר - תיכון מקיף רגר/הנשיא הרצוג",4.2,9,1,5,עירוני,"מקומי מאסף",תלמידים,עירוני,לא,כן,"באר שבע עירוני",הדרום,17549
81,"דן באר שבע",2,0,39081,"באר שבע","באר שבע","תיכון מקיף רגר/הנשיא הרצוג - שמעון אגרנט/אברהם אבן שושן",4.7,11,2,10,עירוני,"מקומי מאסף",תלמידים,עירוני,לא,כן,"באר שבע עירוני",הדרום,19464
82,"דן באר שבע",1,0,61082,"באר שבע","באר שבע","שדרות אורי צבי גרינברג - ""אברבנאל/החיד""""א""",12.1,27,1,6,עירוני,"מקומי מאסף",תלמידים,עירוני,לא,כן,"באר שבע עירוני",הדרום,18050
112,"דן באר שבע",1,0,15112,"באר שבע","באר שבע","פארק נחל באר שבע/שלושת המצפים - ""דיקלה/מסוף י""""א""",17.1,41,8,40,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17559
112,"דן באר שבע",1,1,15112,"באר שבע","באר שבע","מחנה נתן/תוצרת הארץ - ""דיקלה/מסוף י""""א""",14.7,37,'-,19,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,19465
112,"דן באר שבע",2,0,15112,"באר שבע","באר שבע","""מסוף י""""א"" - פארק נחל באר שבע/שלושת המצפים",16.5,38,7,35,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17560
112,"דן באר שבע",2,1,15112,"באר שבע","באר שבע","""מסוף י""""א"" - מחנה נתן/תוצרת הארץ",13.4,35,'-,17,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,19466
130,"דן דרום",1,#,11130,"באר שבע",אשכול,"ת.מרכזית באר שבע/רציפים בינעיר - ""בא""""פ/מל""""י""",59.2,39,11,53,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,1863
130,"דן דרום",1,1,11130,"באר שבע",אשכול,"ת.מרכזית באר שבע/רציפים בינעיר - ""בא""""פ/מל""""י""",54.3,34,'-,20,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16871
130,"דן דרום",2,#,11130,אשכול,"באר שבע","""בא""""פ/מל""""י"" - ת.מרכזית באר שבע/הורדה",59.0,36,9,50,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,1865
134,"דן דרום",1,#,12134,"באר שבע",פטיש,"ת.מרכזית באר שבע/רציפים בינעיר - הזית/החיטה",41.0,34,1,5,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16567
134,"דן דרום",2,#,12134,פטיש,"באר שבע","הזית/החיטה - ת.מרכזית באר שבע/הורדה",41.3,34,1,6,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16568
135,"דן דרום",1,#,18135,"באר שבע","בני נצרים","ת.מרכזית באר שבע/רציפים בינעיר - בני נצרים",72.8,48,1,5,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16569
135,"דן דרום",2,#,18135,"בני נצרים","באר שבע","בני נצרים - ת.מרכזית באר שבע/הורדה",76.3,50,1,6,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16570
140,מטרו,1,#,20140,"באר שבע","ניצני סיני","ת.מרכזית באר שבע/רציפים בינעיר - קדש ברנע",88.3,30,2,11,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17145
140,מטרו,1,2,20140,"באר שבע",עזוז,"מרפאות חוץ סורוקה/אוניברסיטת ב - עזוז/מרכז",108.9,35,1,6,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17147
140,מטרו,2,#,20140,"ניצני סיני","באר שבע","קדש ברנע - ת.מרכזית באר שבע/הורדה",87.8,29,2,11,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17148
140,מטרו,2,1,20140,"ניצני סיני","באר שבע","קדש ברנע - מרכז רפואי סורוקה/בן גוריון",90.1,34,2,11,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17149
140,מטרו,2,2,20140,עזוז,"באר שבע","עזוז/מרכז - ת.מרכזית באר שבע/הורדה",98.1,29,1,6,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17360
142,מטרו,1,#,19142,"באר שבע","רמת הנגב","ת.מרכזית באר שבע/רציפים בינעיר - ""בא""""ח 84 גבעתי""",83.1,31,7,52,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17150
142,מטרו,1,1,19142,"באר שבע","רמת הנגב","ת.מרכזית באר שבע/רציפים בינעיר - ""בא""""ח 84 גבעתי""",95.6,30,2,10,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17151
142,מטרו,2,#,19142,"רמת הנגב","באר שבע","עוצבת אשל - ת.מרכזית באר שבע/הורדה",82.5,29,7,41,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17152
142,מטרו,2,1,19142,"רמת הנגב","באר שבע","עוצבת אשל - ת.מרכזית באר שבע/הורדה",95.8,29,1,7,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,17153
142,מטרו,2,3,19142,"רמת הנגב","באר שבע","מחנה שבטה - ת.מרכזית באר שבע/הורדה",55.9,20,'-,3,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,20212
144,מטרו,1,#,12144,"באר שבע","רמת הנגב","ת.מרכזית באר שבע/רציפים בינעיר - כלא סהרונים",68.6,13,5,25,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11826
144,מטרו,2,#,12144,"רמת הנגב","באר שבע","כלא סהרונים - ת.מרכזית באר שבע/הורדה",68.8,14,5,24,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11827
150,מטרו,1,#,20150,"באר שבע",ירוחם,"ת.מרכזית באר שבע/רציפים בינעיר - ""שדרות ורדימון/ריה""""ל""",40.2,37,21,117,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,26156
150,מטרו,2,#,20150,ירוחם,"באר שבע","אסימוב/שדרות ורדימון - ת.מרכזית באר שבע/הורדה",40.9,36,32,165,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,26157
151,מטרו,1,#,23151,"באר שבע",ירוחם,"ת.מרכזית באר שבע/רציפים בינעיר - אסימוב/שדרות ורדימון",43.3,37,17,96,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,26158
151,מטרו,2,#,23151,ירוחם,"באר שבע","אסימוב/שדרות ורדימון - ת.מרכזית באר שבע/הורדה",44.4,35,15,90,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,26159
152,מטרו,1,#,16152,"באר שבע",ירוחם,"""גשר ת. רכבת ב""""ש צפון/התבונה"" - אסימוב/שדרות ורדימון",43.8,38,5,25,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,26200
152,מטרו,2,#,16152,ירוחם,"באר שבע","אסימוב/שדרות ורדימון - ""גשר ת. רכבת ב""""ש צפון/התבונה""",42.9,40,4,20,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,26160
153,מטרו,1,#,18153,"באר שבע","מרחב עם","ת.מרכזית באר שבע/רציפים בינעיר - מרחב עם",56.9,24,3,15,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,26368
153,מטרו,2,#,18153,"מרחב עם","באר שבע","מרחב עם - ת.מרכזית באר שבע/הורדה",57.8,23,2,10,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,26367
158,מטרו,1,#,12158,"באר שבע","רמת הנגב","ת.מרכזית באר שבע/רציפים בינעיר - מחנה צור",29.9,2,'-,12,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11732
160,מטרו,1,#,14160,"באר שבע","מצפה רמון","ת.מרכזית באר שבע/רציפים בינעיר - מרכז מסחרי/מצפה רמון",102.3,49,2,22,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11725
160,מטרו,2,#,14160,"מצפה רמון","באר שבע","מרכז תפוח - ת.מרכזית באר שבע/הורדה",102.6,50,2,13,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11735
161,מטרו,1,#,17161,"באר שבע","רמת הנגב","ת.מרכזית באר שבע/רציפים בינעיר - מחנה רמון",67.1,2,'-,12,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11733
161,מטרו,2,#,17161,"רמת הנגב","באר שבע","מחנה רמון - ת.מרכזית באר שבע/הורדה",66.8,2,'-,5,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,11734
163,מטרו,1,#,17163,"באר שבע","רמת הנגב","""ת. רכבת ב""""ש צפון"" - מחנה משאבים",37.8,2,'-,9,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,26369
164,"דן דרום",1,#,12164,"באר שבע",אמציה,"ת.מרכזית באר שבע/רציפים בינעיר - אמציה/מרכז",54.1,30,3,18,בין-עירוני,מאסף,סדיר,מיניבוס,לא,לא,"צפון הנגב",הדרום,16575
164,"דן דרום",2,#,12164,אמציה,"באר שבע","אמציה/מרכז - ת.מרכזית באר שבע/הורדה",54.2,31,4,23,בין-עירוני,מאסף,סדיר,מיניבוס,לא,לא,"צפון הנגב",הדרום,16576
170,מטרו,1,#,14170,"באר שבע","רמת הנגב","ת.מרכזית באר שבע/רציפים בינעיר - מחנה אריאל שרון",23.8,15,33,143,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,15291
170,מטרו,2,#,14170,"רמת הנגב","באר שבע","מחנה אריאל שרון - ת.מרכזית באר שבע/הורדה",24.3,16,32,135,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,15292
248,אגד,1,#,13248,שדרות,דימונה,"מסוף אזור התעשייה/רומא - שוק עירוני",88.6,56,3,15,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,14585
248,אגד,2,#,13248,דימונה,שדרות,"שוק עירוני - מסוף אזור התעשייה/רומא",87.1,53,3,15,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,14586
250,תעבורה,1,#,14250,כרמל,"באר שבע","כרמל/יציאה - ת.מרכזית באר שבע/הורדה",57.4,29,13,74,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,27924
250,תעבורה,2,#,14250,"באר שבע",כרמל,"ת.מרכזית באר שבע/רציפים בינעיר - כרמל/יציאה",57.4,30,12,70,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,27925
252,תעבורה,1,#,12252,"הר עמשא","באר שבע","הר עמשא מרכז - ת.מרכזית באר שבע/הורדה",53.9,26,6,34,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,27926
252,תעבורה,2,#,12252,"באר שבע","הר עמשא","ת.מרכזית באר שבע/רציפים בינעיר - הר עמשא מרכז",53.9,28,6,34,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,27927
253,תעבורה,1,#,11253,טנא,"באר שבע","'טנא עומרים א - ת.מרכזית באר שבע/הורדה",33.6,26,6,37,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,27928
253,תעבורה,2,#,11253,"באר שבע",טנא,"ת.מרכזית באר שבע/רציפים בינעיר - בריכה",34.6,27,6,37,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,27929
254,תעבורה,1,#,11254,"קרית ארבע","באר שבע","שד. כלב בן יפונה/דוד המלך - ת.מרכזית באר שבע/הורדה",71.3,41,10,57,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,27930
254,תעבורה,2,#,11254,"באר שבע","קרית ארבע","ת.מרכזית באר שבע/רציפים בינעיר - מרכז מסחרי/יהושע בן נון",71.5,44,11,61,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,27931
258,קווים,1,0,12258,"מודיעין מכבים רעות","באר שבע","ת. מרכזית מודיעין מכבים רעות - ת.מרכזית באר שבע/הורדה",95.9,15,1,5,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,חשמונאים,י-ם,11279
258,קווים,1,2,12258,"מודיעין מכבים רעות","באר שבע","ת. מרכזית מודיעין מכבים רעות - ת.מרכזית באר שבע/הורדה",91.0,10,'-,1,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,חשמונאים,י-ם,11381
258,קווים,2,0,12258,"באר שבע","מודיעין מכבים רעות","ת.מרכזית באר שבע/רציפים בינעיר - שדרות החשמונאים/לב העיר",96.8,15,1,6,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,חשמונאים,י-ם,11280
259,תעבורה,1,#,11259,כרמל,"באר שבע","כרמל/יציאה - אליעזר וצילה מרגולין/גוזלן",86.7,26,'-,2,אזורי,מאסף,לילה,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,28922
259,תעבורה,2,#,11259,"באר שבע",כרמל,"אליעזר וצילה מרגולין/צבי טאוב - כרמל/יציאה",86.4,25,'-,2,אזורי,מאסף,לילה,"בין עירוני",לא,לא,"עוטף ירושלים",י-ם,28923
322,מטרו,1,#,18322,"באר שבע",נתיבות,"יהושע הצורף - יצחק שמיר/אחת עשרה נקודות",41.2,45,5,25,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,28267
322,מטרו,2,#,18322,נתיבות,"באר שבע","אחת עשרה נקודות/יצחק שמיר - יהושע הצורף/יהודה הנחתום",40.5,49,5,25,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,28268
323,"דן דרום",1,#,12323,"באר שבע",נתיבות,"ת.מרכזית באר שבע/רציפים בינעיר - יצחק שמיר/אחת עשרה נקודות",38.1,35,5,25,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16602
323,"דן דרום",2,#,12323,נתיבות,"באר שבע","אחת עשרה נקודות/יצחק שמיר - ת.מרכזית באר שבע/הורדה",37.7,41,5,25,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16603
325,"דן דרום",1,#,11325,"באר שבע",נתיבות,"ת.מרכזית באר שבע/רציפים בינעיר - יצחק שמיר/אחת עשרה נקודות",46.5,50,6,32,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16553
325,"דן דרום",2,#,11325,נתיבות,"באר שבע","אחת עשרה נקודות/יצחק שמיר - ת.מרכזית באר שבע/הורדה",45.7,49,6,32,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16554
330,"דן דרום",1,#,14330,"באר שבע",אופקים,"ת.מרכזית באר שבע/רציפים בינעיר - פארק אופקים",27.8,34,30,173,בין-עירוני,ישיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16606
